NÂº propiedades alquiladas,% total de hogares,% total de viviendas alquiladas,% total rentas del alquiler,ingresos medios alquiler,ingresos medios por inmueble,wave
1,0.057,0.256,0.297,6501.269,6501.269,2016
2,0.033,0.294,0.281,10704.932,5352.466,2016
3,0.006,0.082,0.09,18475.978,6158.659,2016
4,0.007,0.135,0.115,19166.718,4791.68,2016
5+,0.007,0.234,0.217,39944.071,5312.618,2016
no_caseros,0.89,0,0,0,0,2016
1,0.067,0.247,0.295,7490.104,7490.104,2021
2,0.038,0.281,0.255,11376.897,5688.448,2021
3,0.009,0.1,0.113,21415.723,7138.574,2021
4,0.009,0.128,0.11,21599.763,5399.941,2021
5+,0.009,0.245,0.227,43341.568,5877.551,2021
no_caseros,0.868,0,0,0,0,2021
